,Incident.month,Incident.year,Victim.injury,State,Latitude,Longitude,Site.category,Shark.length.m,Provoked/unprovoked,No.sharks,Victim.activity,Present.at.time.of.bite,Shark.behaviour,Injury.location,Injury.severity,Victim.gender,Victim.age,Diversionary.action.taken,Time.of.incident,Data.source,Shark.name
0,1,1791,fatal,NSW,-33.86666666666667,151.2,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,['torso'],major lacerations,F,Unknown,Unknown,Unknown,book,white shark (Carcharodon carcharias)
1,3,1803,injured,WA,-25.833333333333332,113.88333333333334,coastal,Unknown,unprovoked,1,swimming,[],swam at victim,[],Unknown,M,Unknown,pushed at shark,Unknown,book,tiger shark (Galeocerdo cuvier)
"2,1,1807,injured,NSW,-33.86666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on wrist,""['arm', 'hand']"",minor lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
3,1,1820,fatal,TAS,-42.8,147.53333333333333,coastal,Unknown,provoked,1,swimming,['catch'],bit victim on leg,['leg'],major lacerations,M,Unknown,Unknown,Unknown,witness account,Unknown
4,1,1825,injured,NSW,-33.85,151.21666666666667,deep_coast,Unknown,unprovoked,1,swimming,[],bit legs,['leg'],minor lacerations,M,15.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
5,1,1830,injured,TAS,-43.28333333333333,147.33333333333334,island,Unknown,unprovoked,1,swimming,[],bit victim on arms,['arm'],major lacerations,F,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
6,1,1832,injured,NSW,-33.86666666666667,151.18333333333334,deep_coast,Unknown,provoked,Unknown,swimming,[],bit victim on leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
7,6,1832,injured,NSW,-33.833333333333336,151.26666666666668,coastal,Unknown,provoked,1,fishing,[],bit victim on leg,['leg'],major lacerations,F,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
8,1,1836,injured,SA,-34.95,138.5,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,book,white shark (Carcharodon carcharias)
9,8,1836,fatal,QLD,-25.483333333333334,152.98333333333332,coastal,Unknown,unprovoked,1,swimming,[],bit victim on body,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,book,whaler shark (Carcharhinidae)
10,8,1836,fatal,QLD,-25.483333333333334,152.98333333333332,coastal,Unknown,unprovoked,1,swimming,[],bit victim on body,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,book,whaler shark (Carcharhinidae)
11,1,1837,fatal,NSW,-30.933333333333334,153.01666666666668,river,Unknown,unprovoked,1,swimming,[],bit victim on leg,['leg'],major lacerations,M,12.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"12,8,1839,fatal,VIC,-38.983333333333334,146.45,coastal,Unknown,provoked,1,swimming,""['swimming', 'catch', 'Dead whale']"",bit legs,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)"
13,12,1840,fatal,NSW,-33.85,151.21666666666667,deep_coast,Unknown,unprovoked,1,swimming,['Dead whale'],Unknown,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
14,4,1841,fatal,NSW,-33.833333333333336,151.16666666666666,deep_coast,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['thigh'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
15,3,1847,injured,QLD,-27.25,153.25,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,['foot'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"16,11,1847,injured,QLD,-27.433333333333334,153.08333333333334,river,Unknown,unprovoked,1,swimming,[],bit victim onleg - thigh,""['calf', 'thigh']"",major lacerations,M,Unknown,hit at shark,Unknown,media outlet,bull shark (Carcharhinus leucas)"
17,1,1849,fatal,WA,-33.36666666666667,115.28333333333333,ocean,Unknown,provoked,1,swimming,['Dead whale'],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
18,12,1849,injured,VIC,-38.333333333333336,141.6,coastal,Unknown,unprovoked,1,swimming,[],bit leg,['leg'],other: teeth marks,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
19,12,1849,fatal,NSW,-33.81666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on body,['thigh'],major lacerations,M,Unknown,hit shark with paddle,Unknown,media outlet,bull shark (Carcharhinus leucas)
20,1,1850,fatal,QLD,-27.283333333333335,153.21666666666667,coastal,Unknown,unprovoked,1,swimming,['boating'],bit victim,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
21,3,1850,injured,NSW,-29.416666666666668,153.33333333333334,coastal,Unknown,unprovoked,1,swimming,['swimming'],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)
22,11,1853,injured,NSW,-33.85,151.21666666666667,deep_coast,1.0,provoked,1,swimming,[],bit leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
23,1,1855,injured,QLD,-25.5,152.71666666666667,river,Unknown,unprovoked,1,swimming,[],bit victims leg off,['leg'],major lacerations,F,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
24,1,1855,uninjured,NSW,-33.85,151.21666666666667,deep_coast,Unknown,unprovoked,1,swimming,[],swam towards victim,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
25,7,1855,fatal,QLD,-10.566666666666666,142.2,island,Unknown,unprovoked,1,swimming,[],bit victim on torso,['torso'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
26,11,1855,fatal,NSW,-33.86666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim from below,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"27,2,1856,injured,VIC,-38.13333333333333,144.41666666666666,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,""['foot', 'thigh']"",major lacerations,M,18.0,kick at shark with other foot,2100.0,media outlet,white shark (Carcharodon carcharias)"
28,5,1856,injured,SA,-35.53333333333333,138.68333333333334,coastal,Unknown,unprovoked,1,Unknown,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
29,3,1858,fatal,VIC,-37.85,144.9,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,['calf'],major lacerations,M,22.0,Unknown,1500.0,media outlet,white shark (Carcharodon carcharias)
30,1,1860,injured,SA,-35.56666666666667,138.6,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,['arm'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
"31,1,1861,injured,QLD,-27.516666666666666,153.26666666666668,coastal,Unknown,unprovoked,1,swimming,[],bit victim on hand,""['arm', 'hand']"",minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)"
32,2,1862,injured,VIC,-37.85,144.9,coastal,Unknown,unprovoked,1,swimming,[],grazed leg with fin,['leg'],abrasion,M,Unknown,hit out at shark with arm,Unknown,media outlet,white shark (Carcharodon carcharias)
33,12,1862,fatal,QLD,-27.366666666666667,153.15,river,Unknown,unprovoked,1,swimming,[],bit victim on torso,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
34,1,1863,fatal,NSW,-31.883333333333333,151.46666666666667,river,Unknown,unprovoked,1,swimming,[],bit victim on right thigh,['thigh'],major lacerations,M,17.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"35,1,1863,fatal,QLD,-27.583333333333332,153.31666666666666,coastal,Unknown,provoked,1,swimming,""['boating', 'catch', 'Nearby turtle/s']"",bit victim on legs,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)"
"36,3,1863,injured,VIC,-37.9,144.98333333333332,coastal,Unknown,unprovoked,1,swimming,[],bit victim on torso,""['torso', 'leg']"",major lacerations,M,Unknown,swam to shore,2000.0,media outlet,white shark (Carcharodon carcharias)"
37,4,1863,fatal,QLD,-26.8,153.13333333333333,coastal,Unknown,unprovoked,2,Unknown,['boating'],bit victim,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
38,11,1865,fatal,VIC,-37.86666666666667,144.86666666666667,coastal,Unknown,unprovoked,Unknown,swimming,[],Unknown,['thigh'],major lacerations,M,33.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
39,1,1868,injured,QLD,-23.083333333333332,150.73333333333332,coastal,Unknown,unprovoked,1,swimming,[],bit victims leg off,['leg'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
40,1,1869,injured,QLD,-27.466666666666665,153.0,river,Unknown,unprovoked,1,swimming,['swimming'],bit leg,['leg'],other: teeth marks,M,Unknown,shook shark off leg,Unknown,media outlet,bull shark (Carcharhinus leucas)
"41,3,1869,injured,SA,-34.13333333333333,137.45,coastal,2.2,provoked,1,fishing,""['fishing', 'catch']"",bit victim on foot,['foot'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,broadnose sevengill shark (Notorynchus cepedianus)"
42,1,1870,injured,QLD,-27.466666666666665,153.01666666666668,river,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['thigh'],major lacerations,M,17.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"43,5,1870,injured,QLD,-27.083333333333332,153.4,coastal,Unknown,provoked,1,spearfishing,""['fishing', 'spearfishing', 'baitfish']"",bit victim on leg,['leg'],minor lacerations,M,13.0,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)"
44,1,1872,injured,QLD,-25.8,153.01666666666668,coastal,Unknown,unprovoked,1,swimming,[],bit victim,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,Unknown
